ACTIVE_ATTRIBUTES: 35721
ACTIVE_TEXTURE: 34016
ACTIVE_UNIFORMS: 35718
ALIASED_LINE_WIDTH_RANGE: 33902
ALIASED_POINT_SIZE_RANGE: 33901
ALPHA: 6406
ALPHA_BITS: 3413
ALWAYS: 519
ARRAY_BUFFER: 34962
ARRAY_BUFFER_BINDING: 34964
ATTACHED_SHADERS: 35717
BACK: 1029
BLEND: 3042
BLEND_COLOR: 32773
BLEND_DST_ALPHA: 32970
BLEND_DST_RGB: 32968
BLEND_EQUATION: 32777
BLEND_EQUATION_ALPHA: 34877
BLEND_EQUATION_RGB: 32777
BLEND_SRC_ALPHA: 32971
BLEND_SRC_RGB: 32969
BLUE_BITS: 3412
BOOL: 35670
BOOL_VEC2: 35671
BOOL_VEC3: 35672
BOOL_VEC4: 35673
BROWSER_DEFAULT_WEBGL: 37444
BUFFER_SIZE: 34660
BUFFER_USAGE: 34661
BYTE: 5120
CCW: 2305
CLAMP_TO_EDGE: 33071
COLOR_ATTACHMENT0: 36064
COLOR_BUFFER_BIT: 16384
COLOR_CLEAR_VALUE: 3106
COLOR_WRITEMASK: 3107
COMPILE_STATUS: 35713
COMPRESSED_TEXTURE_FORMATS: 34467
CONSTANT_ALPHA: 32771
CONSTANT_COLOR: 32769
CONTEXT_LOST_WEBGL: 37442
CULL_FACE: 2884
CULL_FACE_MODE: 2885
CURRENT_PROGRAM: 35725
CURRENT_VERTEX_ATTRIB: 34342
CW: 2304
DECR: 7683
DECR_WRAP: 34056
DELETE_STATUS: 35712
DEPTH_ATTACHMENT: 36096
DEPTH_BITS: 3414
DEPTH_BUFFER_BIT: 256
DEPTH_CLEAR_VALUE: 2931
DEPTH_COMPONENT: 6402
DEPTH_COMPONENT16: 33189
DEPTH_FUNC: 2932
DEPTH_RANGE: 2928
DEPTH_STENCIL: 34041
DEPTH_STENCIL_ATTACHMENT: 33306
DEPTH_TEST: 2929
DEPTH_WRITEMASK: 2930
DITHER: 3024
DONT_CARE: 4352
DST_ALPHA: 772
DST_COLOR: 774
DYNAMIC_DRAW: 35048
ELEMENT_ARRAY_BUFFER: 34963
ELEMENT_ARRAY_BUFFER_BINDING: 34965
EQUAL: 514
FASTEST: 4353
FLOAT: 5126
FLOAT_MAT2: 35674
FLOAT_MAT3: 35675
FLOAT_MAT4: 35676
FLOAT_VEC2: 35664
FLOAT_VEC3: 35665
FLOAT_VEC4: 35666
FRAGMENT_SHADER: 35632
FRAMEBUFFER: 36160
FRAMEBUFFER_ATTACHMENT_OBJECT_NAME: 36049
FRAMEBUFFER_ATTACHMENT_OBJECT_TYPE: 36048
FRAMEBUFFER_ATTACHMENT_TEXTURE_CUBE_MAP_FACE: 36051
FRAMEBUFFER_ATTACHMENT_TEXTURE_LEVEL: 36050
FRAMEBUFFER_BINDING: 36006
FRAMEBUFFER_COMPLETE: 36053
FRAMEBUFFER_INCOMPLETE_ATTACHMENT: 36054
FRAMEBUFFER_INCOMPLETE_DIMENSIONS: 36057
FRAMEBUFFER_INCOMPLETE_MISSING_ATTACHMENT: 36055
FRAMEBUFFER_UNSUPPORTED: 36061
FRONT: 1028
FRONT_AND_BACK: 1032
FRONT_FACE: 2886
FUNC_ADD: 32774
FUNC_REVERSE_SUBTRACT: 32779
FUNC_SUBTRACT: 32778
GENERATE_MIPMAP_HINT: 33170
GEQUAL: 518
GREATER: 516
GREEN_BITS: 3411
HIGH_FLOAT: 36338
HIGH_INT: 36341
INCR: 7682
INCR_WRAP: 34055
INT: 5124
INT_VEC2: 35667
INT_VEC3: 35668
INT_VEC4: 35669
INVALID_ENUM: 1280
INVALID_FRAMEBUFFER_OPERATION: 1286
INVALID_OPERATION: 1282
INVALID_VALUE: 1281
INVERT: 5386
KEEP: 7680
LEQUAL: 515
LESS: 513
LINEAR: 9729
LINEAR_MIPMAP_LINEAR: 9987
LINEAR_MIPMAP_NEAREST: 9985
LINES: 1
LINE_LOOP: 2
LINE_STRIP: 3
LINE_WIDTH: 2849
LINK_STATUS: 35714
LOW_FLOAT: 36336
LOW_INT: 36339
LUMINANCE: 6409
LUMINANCE_ALPHA: 6410
MAX_COMBINED_TEXTURE_IMAGE_UNITS: 35661
MAX_CUBE_MAP_TEXTURE_SIZE: 34076
MAX_FRAGMENT_UNIFORM_VECTORS: 36349
MAX_RENDERBUFFER_SIZE: 34024
MAX_TEXTURE_IMAGE_UNITS: 34930
MAX_TEXTURE_SIZE: 3379
MAX_VARYING_VECTORS: 36348
MAX_VERTEX_ATTRIBS: 34921
MAX_VERTEX_TEXTURE_IMAGE_UNITS: 35660
MAX_VERTEX_UNIFORM_VECTORS: 36347
MAX_VIEWPORT_DIMS: 3386
MEDIUM_FLOAT: 36337
MEDIUM_INT: 36340
MIRRORED_REPEAT: 33648
NEAREST: 9728
NEAREST_MIPMAP_LINEAR: 9986
NEAREST_MIPMAP_NEAREST: 9984
NEVER: 512
NICEST: 4354
NONE: 0
NOTEQUAL: 517
NO_ERROR: 0
ONE: 1
ONE_MINUS_CONSTANT_ALPHA: 32772
ONE_MINUS_CONSTANT_COLOR: 32770
ONE_MINUS_DST_ALPHA: 773
ONE_MINUS_DST_COLOR: 775
ONE_MINUS_SRC_ALPHA: 771
ONE_MINUS_SRC_COLOR: 769
OUT_OF_MEMORY: 1285
PACK_ALIGNMENT: 3333
POINTS: 0
POLYGON_OFFSET_FACTOR: 32824
POLYGON_OFFSET_FILL: 32823
POLYGON_OFFSET_UNITS: 10752
RED_BITS: 3410
RENDERBUFFER: 36161
RENDERBUFFER_ALPHA_SIZE: 36179
RENDERBUFFER_BINDING: 36007
RENDERBUFFER_BLUE_SIZE: 36178
RENDERBUFFER_DEPTH_SIZE: 36180
RENDERBUFFER_GREEN_SIZE: 36177
RENDERBUFFER_HEIGHT: 36163
RENDERBUFFER_INTERNAL_FORMAT: 36164
RENDERBUFFER_RED_SIZE: 36176
RENDERBUFFER_STENCIL_SIZE: 36181
RENDERBUFFER_WIDTH: 36162
RENDERER: 7937
REPEAT: 10497
REPLACE: 7681
RGB: 6407
RGB5_A1: 32855
RGB565: 36194
RGBA: 6408
RGBA4: 32854
SAMPLER_2D: 35678
SAMPLER_CUBE: 35680
SAMPLES: 32937
SAMPLE_ALPHA_TO_COVERAGE: 32926
SAMPLE_BUFFERS: 32936
SAMPLE_COVERAGE: 32928
SAMPLE_COVERAGE_INVERT: 32939
SAMPLE_COVERAGE_VALUE: 32938
SCISSOR_BOX: 3088
SCISSOR_TEST: 3089
SHADER_TYPE: 35663
SHADING_LANGUAGE_VERSION: 35724
SHORT: 5122
SRC_ALPHA: 770
SRC_ALPHA_SATURATE: 776
SRC_COLOR: 768
STATIC_DRAW: 35044
STENCIL_ATTACHMENT: 36128
STENCIL_BACK_FAIL: 34817
STENCIL_BACK_FUNC: 34816
STENCIL_BACK_PASS_DEPTH_FAIL: 34818
STENCIL_BACK_PASS_DEPTH_PASS: 34819
